experiment,num of users,trace length,max location in trace,max location allowed,Clusters,GLRP,MP,ALRP,VF,User,avg_gen_loss,avg_dist_loss,avg_surge_loss,seed_std,avg_fake_std
sltg_exp1,20,40,40,40,39,00,00,05,4,1,5131.25,0.0,1.75,1.2599603168354152,0.0
sltg_exp1,20,40,40,40,39,00,00,05,4,2,8912.124999999998,2225.3333333333335,3.5666666666666664,11.543396380615196,0.09537935951882999
sltg_exp1,20,40,40,40,39,00,00,05,4,3,13006.425000000001,2225.3333333333335,5.316666666666666,2.8722813232690143,0.09537935951882999
sltg_exp1,20,40,40,40,39,00,00,05,4,4,14698.74583333334,5627.333333333333,7.150000000000001,1.2951833846988619,0.27768575141581664
sltg_exp1,20,40,40,40,39,00,00,05,4,5,18612.70833333334,11203.333333333334,8.841666666666667,10.125432089545612,0.70831751138457077
sltg_exp1,20,40,40,40,39,00,00,05,4,6,24692.37500000001,13318.0,10.616666666666667,0.0,0.89955327044197475
sltg_exp1,20,40,40,40,39,00,00,05,4,7,26912.425000000017,14589.0,12.341666666666667,1.2599603168354152,2.2474217116436539
sltg_exp1,20,40,40,40,39,00,00,05,4,8,30704.991666666694,19604.5,14.016666666666666,2.8722813232690143,7.3742130095488916
sltg_exp1,20,40,40,40,39,00,00,05,4,9,33060.97916666669,21301.833333333332,15.691666666666665,1.2951833846988619,8.9148380654249628
sltg_exp1,20,40,40,40,39,00,00,05,4,10,36913.83333333335,23680.166666666668,17.38333333333333,9.9235830222757748,10.666850353748908
sltg_exp1,20,40,40,40,39,00,00,05,4,11,42556.15833333335,25609.166666666668,19.074999999999996,0.0,12.565981826731365
sltg_exp1,20,40,40,40,39,00,00,05,4,12,46386.541666666686,26104.5,20.891666666666662,11.543396380615196,12.618023476718017
sltg_exp1,20,40,40,40,39,00,00,05,4,13,48290.55000000001,33104.5,22.433333333333337,8.8198639445288496,15.82146872425596
sltg_exp1,20,40,40,40,39,00,00,05,4,14,52097.595833333355,35295.833333333336,24.24166666666667,11.543396380615196,15.879053203260483
sltg_exp1,20,40,40,40,39,00,00,05,4,15,56011.68333333334,35716.333333333336,25.95833333333334,8.0925892024740751,16.165282278187075
sltg_exp1,20,40,40,40,39,00,00,05,4,16,58645.57083333335,38553.833333333336,27.608333333333345,9.0716247166645942,18.741343952526417
sltg_exp1,20,40,40,40,39,00,00,05,4,17,62451.39166666669,41874.333333333336,29.283333333333342,9.5686989711245474,20.628647889703899
sltg_exp1,20,40,40,40,39,00,00,05,4,18,66528.14166666669,45419.333333333336,30.950000000000003,0.0,21.880890880901674
sltg_exp1,20,40,40,40,39,00,00,05,4,19,68751.3166666667,49093.0,32.574999999999996,2.654712790491657,23.283657468998996
sltg_exp1,20,40,40,40,39,00,00,05,4,20,72597.40000000004,50969.666666666664,34.25833333333333,2.8722813232690143,24.376532118718718
sltg_exp1,20,40,40,40,39,05,00,00,4,1,0.0,21712.0,3.5500000000000003,1.2599603168354152,1.2599603168354152
sltg_exp1,20,40,40,40,39,05,00,00,4,2,0.0,77616.0,10.549999999999999,11.543396380615196,12.80335669745061
sltg_exp1,20,40,40,40,39,05,00,00,4,3,0.0,91730.0,14.049999999999999,2.8722813232690143,15.675638020719632
sltg_exp1,20,40,40,40,39,05,00,00,4,4,0.0,117213.0,16.849999999999998,1.2951833846988619,16.970821405418491
sltg_exp1,20,40,40,40,39,05,00,00,4,5,0.0,241451.0,22.149999999999995,10.125432089545612,27.096253494964099
sltg_exp1,20,40,40,40,39,05,00,00,4,6,0.0,241451.0,25.3,0.0,27.096253494964099
sltg_exp1,20,40,40,40,39,05,00,00,4,7,183.33333333333334,243599.66666666666,29.77499999999999,1.2599603168354152,30.279472377233017
sltg_exp1,20,40,40,40,39,05,00,00,4,8,183.33333333333334,259301.66666666666,32.624999999999986,2.8722813232690143,33.151753700502034
sltg_exp1,20,40,40,40,39,05,00,00,4,9,183.33333333333334,260411.66666666666,35.675,1.2951833846988619,34.446937085200908
sltg_exp1,20,40,40,40,39,05,00,00,4,10,183.33333333333334,367559.6666666667,40.425,9.9235830222757748,44.370520107476686
sltg_exp1,20,40,40,40,39,05,00,00,4,11,183.33333333333334,367559.6666666667,43.324999999999996,0.0,44.370520107476686
sltg_exp1,20,40,40,40,39,05,00,00,4,12,183.33333333333334,423463.6666666667,50.324999999999996,11.543396380615196,55.913916488091893
sltg_exp1,20,40,40,40,39,05,00,00,4,13,550.0,458105.3333333333,53.074999999999996,8.8198639445288496,65.17268160656333
sltg_exp1,20,40,40,40,39,05,00,00,4,14,550.0,514009.3333333333,60.074999999999996,11.543396380615196,76.716077987178537
sltg_exp1,20,40,40,40,39,05,00,00,4,15,550.0,531716.3333333334,63.274999999999984,8.0925892024740751,84.80866718965261
sltg_exp1,20,40,40,40,39,05,00,00,4,16,550.0,540334.3333333334,66.825,9.0716247166645942,93.880291906317211
sltg_exp1,20,40,40,40,39,05,00,00,4,17,550.0,645611.3333333334,71.87500000000001,9.5686989711245474,103.44899087744182
sltg_exp1,20,40,40,40,39,05,00,00,4,18,550.0,645611.3333333334,74.37500000000001,0.0,103.44899087744182
sltg_exp1,20,40,40,40,39,05,00,00,4,19,550.0,656201.3333333334,79.12500000000001,2.654712790491657,106.10370366793347
sltg_exp1,20,40,40,40,39,05,00,00,4,20,550.0,670979.3333333334,81.825,2.8722813232690143,108.97598499120249
sltg_exp1,20,40,40,40,39,05,00,05,4,1,5131.25,0.0,1.75,1.2599603168354152,0.0
sltg_exp1,20,40,40,40,39,05,00,05,4,2,8964.729166666664,247.66666666666666,3.533333333333333,11.543396380615196,0.026020824993326658
sltg_exp1,20,40,40,40,39,05,00,05,4,3,13059.029166666667,247.66666666666666,5.283333333333333,2.8722813232690143,0.026020824993326658
sltg_exp1,20,40,40,40,39,05,00,05,4,4,14651.808333333336,5687.666666666667,7.116666666666666,1.2951833846988619,0.29444206683386914
sltg_exp1,20,40,40,40,39,05,00,05,4,5,18568.60416666667,13096.666666666666,8.808333333333332,10.125432089545612,0.67344032581430235
sltg_exp1,20,40,40,40,39,05,00,05,4,6,24568.97083333334,18383.333333333332,10.60833333333333,0.0,1.0235187283690863
sltg_exp1,20,40,40,40,39,05,00,05,4,7,26799.59166666667,20481.5,12.241666666666667,1.2599603168354152,2.6895109568542033
sltg_exp1,20,40,40,40,39,05,00,05,4,8,30808.791666666682,24754.166666666668,13.858333333333333,2.8722813232690143,5.9280515570111545
sltg_exp1,20,40,40,40,39,05,00,05,4,9,33103.09166666668,26880.333333333332,15.524999999999999,1.2951833846988619,8.1188807448625173
sltg_exp1,20,40,40,40,39,05,00,05,4,10,36836.241666666676,34123.333333333336,17.174999999999997,9.9235830222757748,12.204665887984975
sltg_exp1,20,40,40,40,39,05,00,05,4,11,42550.90416666668,37016.833333333336,18.849999999999994,0.0,13.922040337544532
sltg_exp1,20,40,40,40,39,05,00,05,4,12,46217.91250000003,42075.833333333336,20.83333333333333,11.543396380615196,14.250467386727466
sltg_exp1,20,40,40,40,39,05,00,05,4,13,48192.55833333335,47137.666666666664,22.40833333333333,8.8198639445288496,16.515116856179123
sltg_exp1,20,40,40,40,39,05,00,05,4,14,51996.50833333336,49576.666666666664,24.249999999999996,11.543396380615196,16.598722160176973
sltg_exp1,20,40,40,40,39,05,00,05,4,15,55782.01250000003,52925.333333333336,25.941666666666666,8.0925892024740751,18.807957968120125
sltg_exp1,20,40,40,40,39,05,00,05,4,16,58339.66666666671,56106.0,27.633333333333336,9.0716247166645942,21.080627000752759
sltg_exp1,20,40,40,40,39,05,00,05,4,17,62110.86250000004,60425.0,29.308333333333334,9.5686989711245474,23.590612920171001
sltg_exp1,20,40,40,40,39,05,00,05,4,18,66045.81250000004,65388.0,30.974999999999998,0.0,25.179449858026079
sltg_exp1,20,40,40,40,39,05,00,05,4,19,68386.74583333336,66838.16666666667,32.675,2.654712790491657,25.634663339276216
sltg_exp1,20,40,40,40,39,05,00,05,4,20,72232.8291666667,68714.83333333333,34.358333333333334,2.8722813232690143,26.727537988995937
sltg_exp1,20,40,40,40,39,05,00,1,4,1,5131.25,0.0,1.75,1.2599603168354152,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,2,8967.824999999997,0.0,3.5,11.543396380615196,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,3,13062.125,0.0,5.25,2.8722813232690143,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,4,14849.225000000006,0.0,7.0,1.2951833846988619,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,5,19009.32500000001,0.0,8.75,10.125432089545612,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,6,25353.32500000001,0.0,10.5,0.0,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,7,27666.275000000023,0.0,12.25,1.2599603168354152,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,8,31959.975000000035,0.0,14.0,2.8722813232690143,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,9,34388.25000000003,0.0,15.75,1.2951833846988619,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,10,38286.42500000002,0.0,17.5,9.9235830222757748,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,11,44073.42500000002,0.0,19.25,0.0,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,12,47910.00000000003,0.0,21.0,11.543396380615196,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,13,50013.80000000002,0.0,22.75,8.8198639445288496,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,14,53850.37500000003,0.0,24.5,11.543396380615196,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,15,57774.975000000006,0.0,26.25,8.0925892024740751,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,16,60479.80000000002,0.0,28.0,9.0716247166645942,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,17,64378.32500000004,0.0,29.75,9.5686989711245474,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,18,68632.32500000004,0.0,31.5,0.0,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,19,71021.62500000003,0.0,33.25,2.654712790491657,0.0
sltg_exp1,20,40,40,40,39,05,00,1,4,20,74914.62500000003,0.0,35.0,2.8722813232690143,0.0
sltg_exp1,20,40,40,40,39,1,00,00,4,1,0.0,21712.0,3.5500000000000003,1.2599603168354152,1.2599603168354152
sltg_exp1,20,40,40,40,39,1,00,00,4,2,0.0,77616.0,10.55,11.543396380615196,12.803356697450608
sltg_exp1,20,40,40,40,39,1,00,00,4,3,0.0,91730.0,14.05,2.8722813232690143,15.675638020719628
sltg_exp1,20,40,40,40,39,1,00,00,4,4,0.0,117213.0,16.85,1.2951833846988619,16.970821405418498
sltg_exp1,20,40,40,40,39,1,00,00,4,5,0.0,241451.0,22.150000000000013,10.125432089545612,27.096253494964095
sltg_exp1,20,40,40,40,39,1,00,00,4,6,0.0,241451.0,25.30000000000002,0.0,27.096253494964095
sltg_exp1,20,40,40,40,39,1,00,00,4,7,137.5,243370.5,29.831250000000008,1.2599603168354152,29.798657735874638
sltg_exp1,20,40,40,40,39,1,00,00,4,8,137.5,259072.5,32.681250000000006,2.8722813232690143,32.670939059143656
sltg_exp1,20,40,40,40,39,1,00,00,4,9,137.5,260182.5,35.73125000000002,1.2951833846988619,33.966122443842529
sltg_exp1,20,40,40,40,39,1,00,00,4,10,137.5,367330.5,40.48125000000002,9.9235830222757748,43.889705466118279
sltg_exp1,20,40,40,40,39,1,00,00,4,11,137.5,367330.5,43.381249999999994,0.0,43.889705466118279
sltg_exp1,20,40,40,40,39,1,00,00,4,12,137.5,423234.5,50.381249999999994,11.543396380615196,55.433101846733486
sltg_exp1,20,40,40,40,39,1,00,00,4,13,412.5,458188.0,53.01875,8.8198639445288496,64.582141671719285
sltg_exp1,20,40,40,40,39,1,00,00,4,14,412.5,514092.0,60.01875,11.543396380615196,76.125538052334434
sltg_exp1,20,40,40,40,39,1,00,00,4,15,412.5,531799.0,63.218749999999986,8.0925892024740751,84.218127254808508
sltg_exp1,20,40,40,40,39,1,00,00,4,16,412.5,540417.0,66.76874999999995,9.0716247166645942,93.289751971473095
sltg_exp1,20,40,40,40,39,1,00,00,4,17,421.09375,645921.625,71.78749999999991,9.5686989711245474,102.93072866060371
sltg_exp1,20,40,40,40,39,1,00,00,4,18,421.09375,645921.625,74.28749999999991,0.0,102.93072866060371
sltg_exp1,20,40,40,40,39,1,00,00,4,19,558.59375,657199.125,78.8687499999999,2.654712790491657,106.98712973525194
sltg_exp1,20,40,40,40,39,1,00,00,4,20,558.59375,671977.125,81.56874999999995,2.8722813232690143,109.85941105852096
sltg_exp1,20,40,40,40,39,1,00,05,4,1,5095.529166666666,2439.0,1.8333333333333333,1.2599603168354152,0.088381781439559035
sltg_exp1,20,40,40,40,39,1,00,05,4,2,8797.137499999999,5123.666666666667,3.733333333333333,11.543396380615196,0.35006803547254023
sltg_exp1,20,40,40,40,39,1,00,05,4,3,12852.620833333334,7315.0,5.491666666666667,2.8722813232690143,0.42028595024900989
sltg_exp1,20,40,40,40,39,1,00,05,4,4,14495.170833333337,11697.666666666666,7.341666666666668,1.2951833846988619,0.62748462939572924
sltg_exp1,20,40,40,40,39,1,00,05,4,5,18464.570833333342,18015.333333333332,9.049999999999999,10.125432089545612,0.93284386229769323
sltg_exp1,20,40,40,40,39,1,00,05,4,6,24755.704166666674,20130.0,10.766666666666666,0.0,1.0369271622709997
sltg_exp1,20,40,40,40,39,1,00,05,4,7,27027.666666666675,21371.166666666668,12.433333333333332,1.2599603168354152,1.9392022383437275
sltg_exp1,20,40,40,40,39,1,00,05,4,8,31216.950000000023,24503.666666666668,14.08333333333333,2.8722813232690143,3.7065183953335725
sltg_exp1,20,40,40,40,39,1,00,05,4,9,33604.47500000001,26133.666666666668,15.699999999999996,1.2951833846988619,4.9555179950132526
sltg_exp1,20,40,40,40,39,1,00,05,4,10,37335.525000000016,32185.166666666668,17.34166666666666,9.9235830222757748,9.175809347069011
sltg_exp1,20,40,40,40,39,1,00,05,4,11,42809.06250000001,37972.166666666664,19.02499999999999,0.0,13.638972026694548
sltg_exp1,20,40,40,40,39,1,00,05,4,12,46613.01250000002,40411.166666666664,20.866666666666656,11.543396380615196,13.722577330692397
sltg_exp1,20,40,40,40,39,1,00,05,4,13,48648.279166666674,42672.666666666664,22.549999999999994,8.8198639445288496,14.677381293358502
sltg_exp1,20,40,40,40,39,1,00,05,4,14,52422.70000000002,47303.0,24.44999999999999,11.543396380615196,14.818571076360875
sltg_exp1,20,40,40,40,39,1,00,05,4,15,56326.275000000016,48144.0,26.133333333333326,8.0925892024740751,15.39102922621406
sltg_exp1,20,40,40,40,39,1,00,05,4,16,58983.808333333356,50035.666666666664,27.816666666666663,9.0716247166645942,17.108403675773619
sltg_exp1,20,40,40,40,39,1,00,05,4,17,62720.70833333335,55532.666666666664,29.466666666666658,9.5686989711245474,20.275812488854012
sltg_exp1,20,40,40,40,39,1,00,05,4,18,66779.73333333335,59077.666666666664,31.083333333333325,0.0,21.551663044925323
sltg_exp1,20,40,40,40,39,1,00,05,4,19,69090.02500000002,61236.833333333336,32.75833333333332,2.654712790491657,22.253197295107071
sltg_exp1,20,40,40,40,39,1,00,05,4,20,72889.1916666667,63113.5,34.44999999999999,2.8722813232690143,23.721504323341549
sltg_exp1,20,40,40,40,5,025,05,075,4,1,3451.558333333333,8441.666666666666,2.2583333333333333,1.2599603168354152,2.4158443966327461
sltg_exp1,20,40,40,40,5,025,05,075,4,2,6691.233333333333,34318.5,4.025,11.543396380615196,13.525089699902423
sltg_exp1,20,40,40,40,5,025,05,075,4,3,9918.874999999998,52111.5,5.775000000000001,2.8722813232690143,23.100026885650994
sltg_exp1,20,40,40,40,5,025,05,075,4,4,14311.099999999999,57708.833333333336,8.124999999999998,1.2951833846988619,26.377382345064117
sltg_exp1,20,40,40,40,5,025,05,075,4,5,17955.562499999996,62211.5,9.975,10.125432089545612,28.556946638753704
sltg_exp1,20,40,40,40,5,025,05,075,4,6,21764.462499999998,62271.0,12.541666666666666,0.0,28.623613305420374
sltg_exp1,20,40,40,40,5,025,05,075,4,7,24692.812499999996,76369.66666666667,14.908333333333333,1.2599603168354152,29.948730664822083
